Experiment,Target_State,Analytical_Prob,Hardware_Prob,Measured_Counts,Total_Successes,Total_Shots,Backend_Used
exp_b_nice_16x16,0000,0.16666666666666666,0.12273455800764393,3982,32444,100000,ibm_miami
exp_b_nice_16x16,0001,0.041666666666666664,0.10633707311059055,3450,32444,100000,ibm_miami
exp_b_nice_16x16,0010,0.041666666666666664,0.032548391073850325,1056,32444,100000,ibm_miami
exp_b_nice_16x16,0011,0.16666666666666666,0.09517938601898657,3088,32444,100000,ibm_miami
exp_b_nice_16x16,0100,0.041666666666666664,0.031592898532856614,1025,32444,100000,ibm_miami
exp_b_nice_16x16,0101,0.0,0.0338737516952287,1099,32444,100000,ibm_miami
exp_b_nice_16x16,0110,0.0,0.022654419923560598,735,32444,100000,ibm_miami
exp_b_nice_16x16,0111,0.041666666666666664,0.0256133645666379,831,32444,100000,ibm_miami
exp_b_nice_16x16,1000,0.041666666666666664,0.053014424855135,1720,32444,100000,ibm_miami
exp_b_nice_16x16,1001,0.0,0.07163111823449636,2324,32444,100000,ibm_miami
exp_b_nice_16x16,1010,0.0,0.04287387498458883,1391,32444,100000,ibm_miami
exp_b_nice_16x16,1011,0.041666666666666664,0.03637036123782517,1180,32444,100000,ibm_miami
exp_b_nice_16x16,1100,0.16666666666666666,0.1127789421772901,3659,32444,100000,ibm_miami
exp_b_nice_16x16,1101,0.041666666666666664,0.09992602638392306,3242,32444,100000,ibm_miami
exp_b_nice_16x16,1110,0.041666666666666664,0.03482924423622241,1130,32444,100000,ibm_miami
exp_b_nice_16x16,1111,0.16666666666666666,0.07804216496116385,2532,32444,100000,ibm_miami
