=========================================================
 EXPERIMENT REPORT: exp_b_nice_16x16
=========================================================
Backend Used       : ibm_miami
Total Shots Sent   : 100000
Successful Shots   : 32444 (Ancillas measured |0...0>)
Success Rate       : 32.44 %

--- Probability Distribution Comparison ---
State      | Measured Prob   | Analytical Prob | Diff (%)   | Raw Counts
------------------------------------------------------------------------------
|0000⟩     | 0.1227          | 0.1667          | 4.39       | 3982
|0001⟩     | 0.1063          | 0.0417          | 6.47       | 3450
|0010⟩     | 0.0325          | 0.0417          | 0.91       | 1056
|0011⟩     | 0.0952          | 0.1667          | 7.15       | 3088
|0100⟩     | 0.0316          | 0.0417          | 1.01       | 1025
|0101⟩     | 0.0339          | 0.0000          | 3.39       | 1099
|0110⟩     | 0.0227          | 0.0000          | 2.27       | 735
|0111⟩     | 0.0256          | 0.0417          | 1.61       | 831
|1000⟩     | 0.0530          | 0.0417          | 1.13       | 1720
|1001⟩     | 0.0716          | 0.0000          | 7.16       | 2324
|1010⟩     | 0.0429          | 0.0000          | 4.29       | 1391
|1011⟩     | 0.0364          | 0.0417          | 0.53       | 1180
|1100⟩     | 0.1128          | 0.1667          | 5.39       | 3659
|1101⟩     | 0.0999          | 0.0417          | 5.83       | 3242
|1110⟩     | 0.0348          | 0.0417          | 0.68       | 1130
|1111⟩     | 0.0780          | 0.1667          | 8.86       | 2532
