k,target_prob,measured_success_prob,backend
0,0.001,0.01025390625,ibm_fez
1,0.001,0.013671875,ibm_fez
2,0.001,0.03759765625,ibm_fez
3,0.001,0.0615234375,ibm_fez
4,0.001,0.0869140625,ibm_fez
5,0.001,0.1435546875,ibm_fez
6,0.001,0.18505859375,ibm_fez
7,0.001,0.22265625,ibm_fez
8,0.001,0.26318359375,ibm_fez
9,0.001,0.28857421875,ibm_fez
10,0.001,0.396484375,ibm_fez
11,0.001,0.44677734375,ibm_fez
12,0.001,0.50830078125,ibm_fez
13,0.001,0.55224609375,ibm_fez
14,0.001,0.6103515625,ibm_fez
15,0.001,0.66748046875,ibm_fez
16,0.001,0.7265625,ibm_fez
17,0.001,0.771484375,ibm_fez
18,0.001,0.8330078125,ibm_fez
19,0.001,0.8603515625,ibm_fez
20,0.001,0.890625,ibm_fez
21,0.001,0.912109375,ibm_fez
22,0.001,0.943359375,ibm_fez
23,0.001,0.9619140625,ibm_fez
24,0.001,0.958984375,ibm_fez
25,0.001,0.9619140625,ibm_fez
